#mDM = 30 GeV
#sigmav = 2.714e-25 cm^3/s
#source_name, p_DM
4FGL J1317.5-0153, 0.630
4FGL J1911.4-4856, 0.623
4FGL J1536.5-6855, 0.618
4FGL J1954.4-3729, 0.590
4FGL J1429.8-0739, 0.531
4FGL J2336.2-0715, 0.531
4FGL J1901.5-2208, 0.528
4FGL J1705.8+2226, 0.489
4FGL J1555.2+7103, 0.485
4FGL J0347.0-6400, 0.475
4FGL J1105.1-2600, 0.463
4FGL J2030.0-0310, 0.462
4FGL J1456.4-7129, 0.446
4FGL J1944.3-5347, 0.419
4FGL J1014.6+6126, 0.408
4FGL J2223.0+2704, 0.406
4FGL J1235.9+1136, 0.350
4FGL J0912.0-1539, 0.333
4FGL J1303.1-4714, 0.322
4FGL J1635.3+4258, 0.313
4FGL J1847.7-3433, 0.310
4FGL J0735.0-7255, 0.297
4FGL J1526.6-3810, 0.282
4FGL J1913.4-1526, 0.272
4FGL J1031.4-4448, 0.270
4FGL J2201.0-6928, 0.255
4FGL J0048.6-6347, 0.253
4FGL J1808.4-4521, 0.247
4FGL J1824.7+2403, 0.243
4FGL J0807.2+3312, 0.218
4FGL J1513.7-1519, 0.187
4FGL J1615.3-1512, 0.177
4FGL J0433.0+1327, 0.170
4FGL J2043.9-4802, 0.169
4FGL J0454.6-1740, 0.147
4FGL J0731.0+6607, 0.129
4FGL J0949.8+7551, 0.125
4FGL J0712.0-6431, 0.118
4FGL J0739.6+7505, 0.115
4FGL J0139.5-2228, 0.108
4FGL J2036.4-0607, 0.097
4FGL J1730.4-0359, 0.095
4FGL J2138.9-0408, 0.085
4FGL J1513.0-3118, 0.082
4FGL J2241.4-8327, 0.080
4FGL J1612.1+1407, 0.076
4FGL J1717.8+3925, 0.072
4FGL J2009.9-2116, 0.071
4FGL J0910.9+6055, 0.070
4FGL J0500.9-5213, 0.051
4FGL J1813.5+2819, 0.049
4FGL J0122.4-1509, 0.041
4FGL J1029.9+7335, 0.040
4FGL J0918.5+3516, 0.036
4FGL J2146.9-3606, 0.036
4FGL J1428.6+0705, 0.033
4FGL J0942.5+7620, 0.033
4FGL J1322.0-4624, 0.028
4FGL J0243.1-4218, 0.027
