#source_name, p_ext, p_gal
4FGL J0000.7+2530, 0.899, 0.101
4FGL J0009.9+2810, 0.990, 0.010
4FGL J0010.1+1631, 0.991, 0.009
4FGL J0024.1+7909, 0.991, 0.009
4FGL J0026.1-0732, 0.994, 0.006
4FGL J0031.5-5648, 0.988, 0.012
4FGL J0035.2-1739, 0.993, 0.007
4FGL J0040.2-2725, 0.986, 0.014
4FGL J0040.7-7157, 0.964, 0.036
4FGL J0048.6-6347, 0.250, 0.750
4FGL J0102.3+1000, 0.542, 0.458
4FGL J0104.8-2215, 0.501, 0.499
4FGL J0106.1+1131, 0.923, 0.077
4FGL J0107.4+0459, 0.968, 0.032
4FGL J0115.4-2917, 0.982, 0.018
4FGL J0122.4+1034, 0.954, 0.046
4FGL J0122.4-1509, 0.628, 0.372
4FGL J0123.7-4129, 0.902, 0.098
4FGL J0125.9-6303, 0.982, 0.018
4FGL J0136.2-4708, 0.852, 0.148
4FGL J0139.5-2228, 0.031, 0.969
4FGL J0152.9-1109, 0.992, 0.008
4FGL J0154.6+0051, 0.917, 0.083
4FGL J0156.3-2420, 0.985, 0.015
4FGL J0159.8-2234, 0.941, 0.059
4FGL J0225.5-5530, 0.729, 0.271
4FGL J0231.0+3505, 0.969, 0.031
4FGL J0241.3+2229, 0.875, 0.125
4FGL J0243.1-4218, 0.878, 0.122
4FGL J0244.3+1719, 0.888, 0.112
4FGL J0252.0-3657, 0.984, 0.016
4FGL J0259.1-4748, 0.973, 0.027
4FGL J0300.0-5908, 0.938, 0.062
4FGL J0301.6-5617, 0.974, 0.026
4FGL J0312.6-1601, 0.996, 0.004
4FGL J0312.7+2012, 0.909, 0.091
4FGL J0337.9+4058, 0.969, 0.031
4FGL J0347.0-6400, 0.187, 0.813
4FGL J0347.5+0722, 0.971, 0.029
4FGL J0348.5-1804, 0.903, 0.097
4FGL J0418.4-4342, 0.573, 0.427
4FGL J0433.0+1327, 0.010, 0.990
4FGL J0435.5+3232, 0.470, 0.530
4FGL J0443.3-5949, 0.638, 0.362
4FGL J0454.6-1740, 0.946, 0.054
4FGL J0455.9+6757, 0.959, 0.041
4FGL J0459.7-5413, 0.934, 0.066
4FGL J0500.9-5213, 0.965, 0.035
4FGL J0505.8-1923, 0.953, 0.047
4FGL J0506.6-4629, 0.921, 0.079
4FGL J0536.1-1205, 0.799, 0.201
4FGL J0540.2+0655, 0.988, 0.012
4FGL J0545.7+6016, 0.359, 0.641
